Job Title,Experience,location,Work Type,Company Size,Qualifications,salary_avg,exp_category
ui developer,1 to 13 Years,Monaco,Temporary,Large,MCA,71500.0,Junior (1-2 yrs)
physician assistant,4 to 8 Years,Maseru,Temporary,Large,BCA,69000.0,Mid (3-5 yrs)
content writer,4 to 8 Years,Kabul,Temporary,Medium,PhD,80500.0,Mid (3-5 yrs)
brand ambassador,3 to 12 Years,Valletta,Part-Time,Medium,PhD,80000.0,Mid (3-5 yrs)
sales consultant,5 to 10 Years,Brasilia,Contract,Enterprise,MCA,79500.0,Mid (3-5 yrs)
occupational therapist,0 to 12 Years,Dushanbe,Full-Time,Enterprise,M.Com,86500.0,Fresher (0 yrs)
physician assistant,2 to 14 Years,Tirana,Intern,Small,PhD,71500.0,Junior (1-2 yrs)
content writer,1 to 15 Years,Ulaanbaatar,Part-Time,Small,BA,85500.0,Junior (1-2 yrs)
wedding planner,3 to 10 Years,Islamabad,Contract,Small,BCA,92500.0,Mid (3-5 yrs)
legal advisor,2 to 14 Years,Warsaw,Intern,Medium,MCA,89500.0,Junior (1-2 yrs)
mechanical engineer,3 to 10 Years,Moroni,Intern,Large,PhD,72000.0,Mid (3-5 yrs)
event planner,5 to 15 Years,Niamey,Temporary,Enterprise,MCA,81500.0,Mid (3-5 yrs)
nurse practitioner,3 to 8 Years,Phnom Penh,Temporary,Large,B.Com,76000.0,Mid (3-5 yrs)
sem specialist,4 to 13 Years,Cockburn Town,Full-Time,Enterprise,MBA,83000.0,Mid (3-5 yrs)
front-end engineer,4 to 11 Years,Cairo,Intern,Small,MBA,88500.0,Mid (3-5 yrs)
finance manager,1 to 15 Years,Oranjestad,Temporary,Large,BCA,91000.0,Junior (1-2 yrs)
sem specialist,1 to 11 Years,Tokyo,Part-Time,Small,M.Tech,86500.0,Junior (1-2 yrs)
electrical designer,3 to 12 Years,Nairobi,Temporary,Enterprise,PhD,86000.0,Mid (3-5 yrs)
office manager,2 to 8 Years,Ljubljana,Full-Time,Enterprise,BBA,90000.0,Junior (1-2 yrs)
psychologist,5 to 14 Years,Luanda,Part-Time,Large,B.Tech,85000.0,Mid (3-5 yrs)
landscape architect,3 to 11 Years,Bucharest,Intern,Enterprise,BBA,81000.0,Mid (3-5 yrs)
account executive,0 to 11 Years,Brussels,Contract,Small,PhD,79000.0,Fresher (0 yrs)
front-end developer,5 to 15 Years,Copenhagen,Full-Time,Small,MCA,78500.0,Mid (3-5 yrs)
it manager,1 to 14 Years,Cairo,Part-Time,Enterprise,M.Tech,91000.0,Junior (1-2 yrs)
customer service representative,3 to 13 Years,Torshavn,Full-Time,Small,BBA,80500.0,Mid (3-5 yrs)
pediatrician,0 to 9 Years,Nouakchott,Temporary,Small,BBA,68500.0,Fresher (0 yrs)
supply chain manager,2 to 10 Years,Kingston,Full-Time,Small,M.Tech,77000.0,Junior (1-2 yrs)
wedding planner,5 to 14 Years,Khartoum,Temporary,Enterprise,M.Com,90500.0,Mid (3-5 yrs)
ui developer,4 to 10 Years,Bishkek,Contract,Small,M.Tech,94500.0,Mid (3-5 yrs)
network security specialist,4 to 12 Years,Tirana,Temporary,Enterprise,BCA,78000.0,Mid (3-5 yrs)
ux/ui designer,5 to 13 Years,Tegucigalpa,Contract,Small,B.Tech,90500.0,Mid (3-5 yrs)
business analyst,1 to 8 Years,Jerusalem,Intern,Medium,BBA,83500.0,Junior (1-2 yrs)
technical writer,2 to 10 Years,Mogadishu,Intern,Medium,B.Tech,81500.0,Junior (1-2 yrs)
litigation attorney,5 to 9 Years,Bamako,Temporary,Large,BCA,87000.0,Mid (3-5 yrs)
data scientist,2 to 11 Years,Gibraltar,Temporary,Medium,M.Com,89000.0,Junior (1-2 yrs)
hr coordinator,4 to 13 Years,Tashkent,Intern,Small,M.Com,75000.0,Mid (3-5 yrs)
mechanical engineer,4 to 14 Years,Ulaanbaatar,Part-Time,Medium,MCA,89000.0,Mid (3-5 yrs)
customer support specialist,0 to 9 Years,Tegucigalpa,Contract,Small,BCA,82000.0,Fresher (0 yrs)
sales associate,2 to 10 Years,Georgetown,Full-Time,Enterprise,MBA,73000.0,Junior (1-2 yrs)
office manager,4 to 8 Years,Warsaw,Contract,Small,BCA,88500.0,Mid (3-5 yrs)
paralegal,2 to 14 Years,Stockholm,Contract,Enterprise,B.Com,75500.0,Junior (1-2 yrs)
research scientist,4 to 14 Years,The City of Hamilton,Intern,Small,BCA,70500.0,Mid (3-5 yrs)
executive assistant,4 to 10 Years,BogotÃ¡,Temporary,Large,MBA,86000.0,Mid (3-5 yrs)
account executive,4 to 10 Years,Zagreb,Contract,Small,MBA,91500.0,Mid (3-5 yrs)
ux/ui designer,4 to 8 Years,Kyiv (also known as Kiev),Part-Time,Large,BBA,82500.0,Mid (3-5 yrs)
social worker,0 to 14 Years,Conakry,Intern,Small,BCA,93500.0,Fresher (0 yrs)
procurement specialist,4 to 8 Years,Baku,Full-Time,Large,M.Com,78000.0,Mid (3-5 yrs)
financial advisor,2 to 12 Years,Cockburn Town,Contract,Medium,B.Tech,70500.0,Junior (1-2 yrs)
network administrator,4 to 10 Years,Rabat,Intern,Medium,PhD,88500.0,Mid (3-5 yrs)
technical writer,4 to 14 Years,Port Moresby,Part-Time,Large,B.Tech,76500.0,Mid (3-5 yrs)
business analyst,4 to 15 Years,City of Baghdad,Contract,Medium,BCA,93000.0,Mid (3-5 yrs)
pharmaceutical sales representative,3 to 13 Years,Santo Domingo,Contract,Large,MCA,83000.0,Mid (3-5 yrs)
investment banker,1 to 14 Years,Nouakchott,Temporary,Medium,MBA,81500.0,Junior (1-2 yrs)
pharmaceutical sales representative,0 to 11 Years,Minsk,Intern,Large,M.Tech,91000.0,Fresher (0 yrs)
mechanical designer,4 to 9 Years,Rome,Contract,Small,M.Tech,86500.0,Mid (3-5 yrs)
marketing coordinator,0 to 9 Years,Sri Jayawardenepura Kotte,Temporary,Small,B.Tech,76000.0,Fresher (0 yrs)
graphic designer,5 to 9 Years,Tirana,Temporary,Large,M.Tech,78500.0,Mid (3-5 yrs)
content writer,3 to 13 Years,Luanda,Full-Time,Enterprise,M.Tech,90500.0,Mid (3-5 yrs)
data entry clerk,3 to 13 Years,Havana,Full-Time,Enterprise,B.Tech,94500.0,Mid (3-5 yrs)
data analyst,5 to 11 Years,Podgorica,Part-Time,Medium,MCA,88500.0,Mid (3-5 yrs)
executive assistant,4 to 11 Years,Algiers,Full-Time,Medium,BCA,74000.0,Mid (3-5 yrs)
legal secretary,4 to 12 Years,Bishkek,Intern,Enterprise,B.Tech,86000.0,Mid (3-5 yrs)
network engineer,4 to 8 Years,Nouakchott,Full-Time,Small,MCA,95000.0,Mid (3-5 yrs)
systems administrator,0 to 10 Years,Algiers,Intern,Enterprise,M.Tech,90000.0,Fresher (0 yrs)
legal advisor,5 to 15 Years,Guatemala City,Contract,Large,BA,83000.0,Mid (3-5 yrs)
ux/ui designer,5 to 11 Years,Nur-Sultan,Temporary,Small,M.Tech,77500.0,Mid (3-5 yrs)
account executive,2 to 10 Years,Islamabad,Temporary,Enterprise,B.Com,94000.0,Junior (1-2 yrs)
executive assistant,4 to 13 Years,Saint George's,Intern,Small,BA,69500.0,Mid (3-5 yrs)
data analyst,4 to 10 Years,Tripoli,Contract,Small,PhD,79500.0,Mid (3-5 yrs)
marketing specialist,0 to 11 Years,Dodoma,Full-Time,Enterprise,M.Tech,96500.0,Fresher (0 yrs)
financial analyst,1 to 11 Years,Panama City,Temporary,Medium,B.Com,92000.0,Junior (1-2 yrs)
family nurse practitioner,2 to 11 Years,Road Town,Part-Time,Enterprise,BCA,86000.0,Junior (1-2 yrs)
network engineer,4 to 11 Years,Ottawa,Temporary,Small,BBA,77000.0,Mid (3-5 yrs)
investment banker,1 to 11 Years,Harare,Full-Time,Small,B.Com,84000.0,Junior (1-2 yrs)
ux/ui designer,1 to 9 Years,Kyiv (also known as Kiev),Part-Time,Small,MCA,78500.0,Junior (1-2 yrs)
teacher,5 to 10 Years,Bishkek,Part-Time,Medium,PhD,87000.0,Mid (3-5 yrs)
financial analyst,0 to 10 Years,Stockholm,Temporary,Medium,B.Tech,93000.0,Fresher (0 yrs)
network analyst,5 to 12 Years,Ulaanbaatar,Part-Time,Medium,MCA,83500.0,Mid (3-5 yrs)
ux/ui designer,4 to 9 Years,Ouagadougou,Contract,Enterprise,MCA,91000.0,Mid (3-5 yrs)
environmental consultant,5 to 9 Years,Bratislava,Part-Time,Enterprise,MCA,67500.0,Mid (3-5 yrs)
quality assurance analyst,2 to 15 Years,BogotÃ¡,Temporary,Enterprise,BA,92000.0,Junior (1-2 yrs)
purchasing agent,2 to 14 Years,Rabat,Full-Time,Small,BBA,81500.0,Junior (1-2 yrs)
executive assistant,2 to 12 Years,Dodoma,Temporary,Small,M.Com,78500.0,Junior (1-2 yrs)
network engineer,5 to 13 Years,Apia,Part-Time,Small,BA,87000.0,Mid (3-5 yrs)
customer success manager,5 to 10 Years,"Washington, D.C.",Intern,Large,B.Com,77000.0,Mid (3-5 yrs)
software tester,3 to 14 Years,Hanoi,Temporary,Small,B.Tech,84000.0,Mid (3-5 yrs)
systems analyst,1 to 13 Years,Santiago,Intern,Small,PhD,91000.0,Junior (1-2 yrs)
speech therapist,1 to 9 Years,Thimphu,Full-Time,Enterprise,MBA,75000.0,Junior (1-2 yrs)
physician assistant,0 to 13 Years,London,Contract,Large,M.Tech,91500.0,Fresher (0 yrs)
procurement manager,2 to 12 Years,London,Temporary,Enterprise,BA,76500.0,Junior (1-2 yrs)
operations manager,1 to 10 Years,Ulaanbaatar,Contract,Small,BBA,74000.0,Junior (1-2 yrs)
supply chain manager,4 to 9 Years,Macao,Full-Time,Small,PhD,93000.0,Mid (3-5 yrs)
civil engineer,0 to 11 Years,Damascus,Intern,Medium,PhD,80000.0,Fresher (0 yrs)
content writer,1 to 14 Years,Damascus,Full-Time,Medium,B.Com,72500.0,Junior (1-2 yrs)
operations manager,0 to 9 Years,Pretoria,Part-Time,Medium,M.Com,79500.0,Fresher (0 yrs)
operations manager,0 to 14 Years,Stockholm,Intern,Large,BA,87500.0,Fresher (0 yrs)
seo analyst,0 to 14 Years,Jakarta,Intern,Small,B.Com,72500.0,Fresher (0 yrs)
social media coordinator,2 to 9 Years,Kingston,Part-Time,Large,BBA,89000.0,Junior (1-2 yrs)
social media manager,5 to 9 Years,Nassau,Full-Time,Small,BA,83500.0,Mid (3-5 yrs)
it administrator,1 to 12 Years,Nicosia,Temporary,Small,BCA,85500.0,Junior (1-2 yrs)
market analyst,2 to 10 Years,Mbabane,Part-Time,Medium,M.Com,70500.0,Junior (1-2 yrs)
network technician,3 to 12 Years,Madrid,Temporary,Small,PhD,74000.0,Mid (3-5 yrs)
data engineer,2 to 11 Years,Minsk,Part-Time,Large,BCA,80000.0,Junior (1-2 yrs)
family nurse practitioner,4 to 13 Years,Suva,Part-Time,Enterprise,PhD,90500.0,Mid (3-5 yrs)
legal counsel,5 to 8 Years,Djibouti (city),Temporary,Enterprise,MBA,93000.0,Mid (3-5 yrs)
customer service manager,5 to 9 Years,Zagreb,Part-Time,Medium,BCA,93500.0,Mid (3-5 yrs)
supply chain manager,5 to 15 Years,Kabul,Intern,Large,B.Com,74500.0,Mid (3-5 yrs)
procurement manager,1 to 9 Years,Brazzaville,Part-Time,Large,MBA,69500.0,Junior (1-2 yrs)
administrative assistant,4 to 12 Years,Pristina,Part-Time,Small,MBA,77000.0,Mid (3-5 yrs)
litigation attorney,1 to 12 Years,Conakry,Full-Time,Large,BBA,93000.0,Junior (1-2 yrs)
research analyst,1 to 15 Years,Kathmandu,Full-Time,Enterprise,M.Com,71500.0,Junior (1-2 yrs)
purchasing agent,3 to 12 Years,Riga,Part-Time,Large,M.Tech,88000.0,Mid (3-5 yrs)
customer success manager,1 to 12 Years,Douglas,Full-Time,Medium,BCA,82500.0,Junior (1-2 yrs)
supply chain manager,0 to 13 Years,Gaza,Temporary,Small,B.Com,90500.0,Fresher (0 yrs)
content writer,3 to 10 Years,Dhaka,Full-Time,Large,BBA,73000.0,Mid (3-5 yrs)
legal secretary,5 to 13 Years,Maputo,Temporary,Large,B.Com,74000.0,Mid (3-5 yrs)
data analyst,0 to 15 Years,Dushanbe,Contract,Enterprise,BBA,85000.0,Fresher (0 yrs)
administrative assistant,1 to 9 Years,Helsinki,Part-Time,Large,M.Com,88500.0,Junior (1-2 yrs)
supply chain manager,0 to 10 Years,Andorra la Vella,Contract,Large,MCA,89500.0,Fresher (0 yrs)
mechanical engineer,1 to 9 Years,Canberra,Part-Time,Medium,B.Com,72000.0,Junior (1-2 yrs)
wedding planner,4 to 15 Years,Abuja,Temporary,Medium,B.Tech,70000.0,Mid (3-5 yrs)
sales consultant,3 to 12 Years,Sri Jayawardenepura Kotte,Full-Time,Small,BA,77500.0,Mid (3-5 yrs)
quality assurance analyst,1 to 10 Years,Amsterdam,Part-Time,Large,B.Tech,78500.0,Junior (1-2 yrs)
research analyst,5 to 15 Years,Doha,Temporary,Small,MCA,77000.0,Mid (3-5 yrs)
speech therapist,1 to 13 Years,Rome,Part-Time,Small,MBA,86500.0,Junior (1-2 yrs)
urban planner,1 to 8 Years,Amsterdam,Temporary,Enterprise,BCA,93500.0,Junior (1-2 yrs)
ux/ui designer,0 to 10 Years,Moroni,Temporary,Small,BCA,72500.0,Fresher (0 yrs)
legal secretary,1 to 15 Years,Monrovia,Contract,Small,BA,74000.0,Junior (1-2 yrs)
ux/ui designer,0 to 13 Years,Stockholm,Full-Time,Medium,BCA,77000.0,Fresher (0 yrs)
executive assistant,1 to 11 Years,Islamabad,Contract,Enterprise,M.Tech,81500.0,Junior (1-2 yrs)
social media manager,4 to 14 Years,Manama,Intern,Small,BBA,78000.0,Mid (3-5 yrs)
brand ambassador,4 to 13 Years,Papeete,Temporary,Enterprise,MBA,82000.0,Mid (3-5 yrs)
software engineer,0 to 15 Years,Gaborone,Contract,Medium,MBA,89500.0,Fresher (0 yrs)
chemical engineer,3 to 15 Years,Roseau,Contract,Medium,BCA,83000.0,Mid (3-5 yrs)
market research analyst,0 to 14 Years,Funafuti,Full-Time,Medium,MBA,77500.0,Fresher (0 yrs)
ux/ui designer,5 to 14 Years,Brasilia,Contract,Enterprise,MBA,90500.0,Mid (3-5 yrs)
data analyst,5 to 9 Years,Lusaka,Full-Time,Small,B.Tech,83000.0,Mid (3-5 yrs)
network engineer,4 to 15 Years,Port Vila,Full-Time,Small,PhD,89500.0,Mid (3-5 yrs)
environmental engineer,3 to 12 Years,Valletta,Contract,Medium,M.Tech,77500.0,Mid (3-5 yrs)
database administrator,4 to 10 Years,BogotÃ¡,Contract,Enterprise,M.Com,84000.0,Mid (3-5 yrs)
ux/ui designer,1 to 14 Years,Damascus,Part-Time,Small,MBA,97500.0,Junior (1-2 yrs)
accountant,4 to 10 Years,Skopje,Full-Time,Medium,PhD,92000.0,Mid (3-5 yrs)
software architect,5 to 15 Years,Warsaw,Part-Time,Small,M.Com,72500.0,Mid (3-5 yrs)
hr coordinator,1 to 10 Years,Bandar Seri Begawan,Intern,Enterprise,BCA,72500.0,Junior (1-2 yrs)
chemical engineer,5 to 11 Years,Ljubljana,Contract,Medium,B.Tech,83000.0,Mid (3-5 yrs)
tax consultant,4 to 8 Years,Bamako,Contract,Large,BCA,68000.0,Mid (3-5 yrs)
family lawyer,5 to 14 Years,Kingston,Contract,Large,BCA,72500.0,Mid (3-5 yrs)
customer service representative,3 to 8 Years,AsunciÃ³n,Part-Time,Enterprise,M.Com,92500.0,Mid (3-5 yrs)
event manager,3 to 13 Years,Tehran,Contract,Enterprise,PhD,70000.0,Mid (3-5 yrs)
ux/ui designer,0 to 10 Years,Bangkok,Temporary,Large,M.Tech,89000.0,Fresher (0 yrs)
administrative assistant,3 to 10 Years,Skopje,Part-Time,Medium,BBA,73000.0,Mid (3-5 yrs)
nurse manager,2 to 8 Years,Maseru,Part-Time,Large,MCA,78000.0,Junior (1-2 yrs)
marketing manager,2 to 9 Years,Kampala,Temporary,Medium,MCA,91000.0,Junior (1-2 yrs)
copywriter,3 to 10 Years,Bangui,Intern,Large,B.Com,94500.0,Mid (3-5 yrs)
urban planner,5 to 10 Years,Victoria,Intern,Large,MBA,78500.0,Mid (3-5 yrs)
environmental consultant,0 to 15 Years,Kuala Lumpur,Part-Time,Large,BCA,92500.0,Fresher (0 yrs)
event coordinator,4 to 14 Years,Vilnius,Full-Time,Enterprise,BA,96000.0,Mid (3-5 yrs)
operations manager,5 to 11 Years,Kampala,Part-Time,Large,PhD,78500.0,Mid (3-5 yrs)
customer success manager,0 to 13 Years,Charlotte Amalie,Contract,Small,MCA,74000.0,Fresher (0 yrs)
landscape designer,5 to 12 Years,Ankara,Intern,Large,MBA,96500.0,Mid (3-5 yrs)
tax consultant,5 to 13 Years,Ashgabat,Contract,Medium,BBA,77500.0,Mid (3-5 yrs)
nurse practitioner,5 to 9 Years,N'Djamena,Contract,Medium,MCA,93000.0,Mid (3-5 yrs)
graphic designer,2 to 14 Years,Male,Part-Time,Small,B.Com,88000.0,Junior (1-2 yrs)
software engineer,3 to 14 Years,Dublin,Full-Time,Small,M.Com,93000.0,Mid (3-5 yrs)
back-end developer,2 to 15 Years,Monrovia,Part-Time,Enterprise,BBA,74500.0,Junior (1-2 yrs)
purchasing agent,4 to 14 Years,City of Victoria,Contract,Enterprise,B.Com,79500.0,Mid (3-5 yrs)
investment banker,4 to 11 Years,Prague,Full-Time,Small,B.Com,93000.0,Mid (3-5 yrs)
legal assistant,4 to 12 Years,Podgorica,Intern,Medium,BCA,89000.0,Mid (3-5 yrs)
hr coordinator,4 to 10 Years,Tripoli,Intern,Medium,BBA,82000.0,Mid (3-5 yrs)
java developer,3 to 14 Years,Budapest,Part-Time,Enterprise,MBA,84000.0,Mid (3-5 yrs)
software architect,5 to 10 Years,Papeete,Intern,Medium,MCA,92000.0,Mid (3-5 yrs)
ux researcher,1 to 13 Years,City of Victoria,Intern,Medium,BBA,86000.0,Junior (1-2 yrs)
financial advisor,4 to 15 Years,Moscow,Contract,Enterprise,BA,91500.0,Mid (3-5 yrs)
technical writer,1 to 13 Years,Bratislava,Part-Time,Medium,BCA,93500.0,Junior (1-2 yrs)
aerospace engineer,1 to 9 Years,Caracas,Temporary,Enterprise,MCA,71000.0,Junior (1-2 yrs)
sem specialist,5 to 15 Years,Thimphu,Part-Time,Medium,B.Com,77500.0,Mid (3-5 yrs)
aerospace engineer,0 to 9 Years,Thimphu,Contract,Medium,B.Com,80500.0,Fresher (0 yrs)
pharmaceutical sales representative,0 to 13 Years,Hagatna,Full-Time,Enterprise,B.Tech,95000.0,Fresher (0 yrs)
digital marketing specialist,3 to 15 Years,Kampala,Full-Time,Enterprise,B.Tech,89000.0,Mid (3-5 yrs)
electrical engineer,2 to 12 Years,Buenos Aires,Contract,Small,MBA,71500.0,Junior (1-2 yrs)
network engineer,1 to 12 Years,Apia,Full-Time,Small,MCA,79500.0,Junior (1-2 yrs)
mechanical designer,2 to 11 Years,Hagatna,Intern,Medium,BBA,73000.0,Junior (1-2 yrs)
landscape architect,0 to 14 Years,Quito,Intern,Large,MBA,90000.0,Fresher (0 yrs)
qa analyst,4 to 14 Years,Philipsburg,Contract,Enterprise,M.Com,96500.0,Mid (3-5 yrs)
front-end developer,3 to 14 Years,San Marino,Contract,Enterprise,B.Tech,73000.0,Mid (3-5 yrs)
customer support specialist,2 to 10 Years,Djibouti (city),Temporary,Small,BA,83000.0,Junior (1-2 yrs)
marketing specialist,4 to 15 Years,Manila,Full-Time,Small,M.Com,68500.0,Mid (3-5 yrs)
family nurse practitioner,1 to 10 Years,Minsk,Temporary,Medium,M.Tech,92500.0,Junior (1-2 yrs)
business development manager,3 to 9 Years,Yerevan,Intern,Small,MBA,81500.0,Mid (3-5 yrs)
it support specialist,1 to 9 Years,Dublin,Intern,Medium,B.Com,72000.0,Junior (1-2 yrs)
registered nurse,2 to 11 Years,Valletta,Part-Time,Medium,MCA,72000.0,Junior (1-2 yrs)
ux/ui designer,0 to 8 Years,Abu Dhabi,Temporary,Enterprise,B.Com,71500.0,Fresher (0 yrs)
litigation attorney,5 to 13 Years,Saint George's,Part-Time,Medium,BA,88000.0,Mid (3-5 yrs)
operations manager,2 to 14 Years,Nuku?alofa,Part-Time,Small,BBA,89500.0,Junior (1-2 yrs)
project manager,1 to 10 Years,Funafuti,Temporary,Medium,B.Com,77500.0,Junior (1-2 yrs)
data analyst,3 to 15 Years,Conakry,Intern,Enterprise,MCA,87500.0,Mid (3-5 yrs)
personal assistant,2 to 9 Years,Prague,Full-Time,Large,MBA,74000.0,Junior (1-2 yrs)
systems administrator,3 to 12 Years,Rabat,Temporary,Enterprise,B.Tech,90500.0,Mid (3-5 yrs)
social worker,1 to 15 Years,Tokyo,Part-Time,Small,MBA,89000.0,Junior (1-2 yrs)
legal counsel,3 to 13 Years,Dublin,Intern,Medium,PhD,84000.0,Mid (3-5 yrs)
chemical engineer,3 to 8 Years,Beijing,Temporary,Enterprise,B.Com,77000.0,Mid (3-5 yrs)
procurement coordinator,2 to 11 Years,Funafuti,Part-Time,Large,M.Com,89000.0,Junior (1-2 yrs)
data engineer,0 to 13 Years,Monrovia,Full-Time,Large,M.Tech,93500.0,Fresher (0 yrs)
ui developer,0 to 15 Years,New Delhi,Contract,Enterprise,PhD,83500.0,Fresher (0 yrs)
sales representative,4 to 15 Years,Hanoi,Contract,Large,MCA,88500.0,Mid (3-5 yrs)
hr coordinator,0 to 15 Years,Doha,Part-Time,Large,M.Tech,80000.0,Fresher (0 yrs)
financial advisor,5 to 11 Years,George Town,Part-Time,Enterprise,M.Com,80000.0,Mid (3-5 yrs)
customer success manager,4 to 11 Years,Berlin,Full-Time,Enterprise,MCA,86500.0,Mid (3-5 yrs)
ux researcher,3 to 15 Years,Ashgabat,Full-Time,Small,BA,84500.0,Mid (3-5 yrs)
data analyst,3 to 15 Years,Prague,Contract,Medium,BBA,83000.0,Mid (3-5 yrs)
network technician,1 to 9 Years,Dakar,Part-Time,Small,B.Tech,93000.0,Junior (1-2 yrs)
finance manager,5 to 15 Years,Kinshasa,Intern,Small,B.Com,72500.0,Mid (3-5 yrs)
registered nurse,4 to 9 Years,Nouakchott,Full-Time,Small,MBA,76500.0,Mid (3-5 yrs)
project coordinator,2 to 13 Years,Manila,Full-Time,Medium,BCA,90500.0,Junior (1-2 yrs)
urban planner,1 to 13 Years,Nairobi,Temporary,Small,B.Com,90500.0,Junior (1-2 yrs)
data engineer,2 to 14 Years,San Jose,Temporary,Large,M.Tech,81000.0,Junior (1-2 yrs)
operations manager,1 to 11 Years,Hagatna,Temporary,Enterprise,BA,74500.0,Junior (1-2 yrs)
software engineer,0 to 12 Years,Vaduz,Intern,Enterprise,B.Tech,76000.0,Fresher (0 yrs)
content writer,5 to 14 Years,Luanda,Contract,Medium,B.Tech,92500.0,Mid (3-5 yrs)
digital marketing specialist,0 to 8 Years,"Malabo (de jure),",Intern,Enterprise,BCA,85000.0,Fresher (0 yrs)
purchasing agent,4 to 15 Years,Naypyidaw,Temporary,Small,MBA,74500.0,Mid (3-5 yrs)
database administrator,3 to 12 Years,Wellington,Part-Time,Medium,B.Tech,73000.0,Mid (3-5 yrs)
email marketing specialist,0 to 12 Years,Kathmandu,Temporary,Large,M.Com,73500.0,Fresher (0 yrs)
graphic designer,5 to 8 Years,Gitega,Contract,Small,BA,92000.0,Mid (3-5 yrs)
operations manager,2 to 12 Years,Gitega,Part-Time,Large,B.Tech,78500.0,Junior (1-2 yrs)
it manager,2 to 13 Years,Baku,Contract,Large,M.Tech,71500.0,Junior (1-2 yrs)
operations manager,1 to 10 Years,Tbilisi,Full-Time,Enterprise,BCA,88000.0,Junior (1-2 yrs)
customer success manager,1 to 14 Years,Gaza,Part-Time,Enterprise,MBA,73500.0,Junior (1-2 yrs)
project manager,5 to 15 Years,Torshavn,Part-Time,Small,MCA,81000.0,Mid (3-5 yrs)
art director,1 to 10 Years,Male,Intern,Small,MCA,78000.0,Junior (1-2 yrs)
supply chain manager,2 to 12 Years,Bangui,Part-Time,Small,B.Tech,72500.0,Junior (1-2 yrs)
legal assistant,1 to 8 Years,Riga,Contract,Enterprise,M.Com,81000.0,Junior (1-2 yrs)
art teacher,3 to 13 Years,Beirut,Intern,Enterprise,BA,82000.0,Mid (3-5 yrs)
legal advisor,0 to 13 Years,Seoul,Contract,Enterprise,PhD,91000.0,Fresher (0 yrs)
account manager,2 to 12 Years,Freetown,Intern,Enterprise,BBA,81500.0,Junior (1-2 yrs)
seo specialist,5 to 11 Years,Santo Domingo,Full-Time,Small,BBA,81000.0,Mid (3-5 yrs)
procurement manager,3 to 14 Years,Beijing,Full-Time,Medium,PhD,97000.0,Mid (3-5 yrs)
financial analyst,1 to 9 Years,Douglas,Part-Time,Large,MCA,78500.0,Junior (1-2 yrs)
data entry clerk,5 to 15 Years,Zagreb,Contract,Small,B.Tech,81000.0,Mid (3-5 yrs)
seo analyst,0 to 12 Years,Helsinki,Temporary,Medium,B.Com,72000.0,Fresher (0 yrs)
civil engineer,0 to 12 Years,Port Moresby,Intern,Medium,PhD,73000.0,Fresher (0 yrs)
it support specialist,3 to 11 Years,Banjul,Intern,Enterprise,M.Com,78000.0,Mid (3-5 yrs)
litigation attorney,1 to 9 Years,Singapore,Full-Time,Medium,MCA,86000.0,Junior (1-2 yrs)
ux/ui designer,0 to 12 Years,Port Vila,Full-Time,Large,MBA,89500.0,Fresher (0 yrs)
substance abuse counselor,3 to 12 Years,Lima,Part-Time,Medium,M.Tech,91000.0,Mid (3-5 yrs)
